"","species","WWF_MHT","dcmlLng","dcmlLtt","S_mean_raster","Crowther_Nature_Biome_Revision_01_WGS84_GeoTiff","wc2.1_10m_bio_1","wc2.1_10m_bio_4","wc2.1_10m_bio_12","wc2.1_10m_bio_15"
"5966","Antarctica","Temperate Broadleaf and Mixed Forests",152.323428,-29.906637,27.5619411468506,60075.5482314645,15.4902811050415,431.663452148438,1016,46.1491203308105
"5967","Antarctica","Temperate Broadleaf and Mixed Forests",151.081849,-33.781328,NA,0,17.221227645874,406.150573730469,1143,28.7007904052734
"5968","Antarctica","Temperate Broadleaf and Mixed Forests",151.734091,-31.705902,31.5070953369141,61198.1940866577,15.7964162826538,437.968170166016,1110,41.2449150085449
"5969","Antarctica","Temperate Broadleaf and Mixed Forests",150.672281,-34.173371,26.5077476501465,18362.2395104263,15.5136251449585,394.086639404297,1110,25.6015167236328
"5970","Antarctica","Temperate Broadleaf and Mixed Forests",150.5893,-34.664742,39.1266326904297,65011.5707822971,13.3651561737061,404.971984863281,1390,24.7500305175781
"5971","Antarctica","Temperate Broadleaf and Mixed Forests",152.471695,-31.31489,29.8133335113525,55099.9195551992,15.571364402771,392.271697998047,1525,47.1938934326172
"5972","Antarctica","Temperate Broadleaf and Mixed Forests",152.405947,-29.31088,25.8725833892822,54047.7463416975,16.6513023376465,402.892639160156,1085,48.7163734436035
"5973","Antarctica","Temperate Broadleaf and Mixed Forests",150.795235,-34.69614,42.3811683654785,37553.1264999246,16.1004543304443,353.6513671875,1383,24.8317050933838
"5974","Antarctica","Temperate Broadleaf and Mixed Forests",151.68152,-32.058312,28.1342029571533,56654.4950956633,15.5664691925049,421.052856445312,1282,39.5581207275391
"5975","Antarctica","Temperate Broadleaf and Mixed Forests",151.402445,-33.353439,34.5400848388672,59399.8072688764,17.4889736175537,374.527160644531,1299,28.776762008667
"5976","Antarctica","Temperate Broadleaf and Mixed Forests",151.418565,-33.368121,34.5400848388672,63814.2626474717,17.4889736175537,374.527160644531,1299,28.776762008667
"5977","Antarctica","Temperate Broadleaf and Mixed Forests",152.500069,-29.940807,33.2665252685547,56700.5200395741,16.9257297515869,399.919525146484,1259,53.1933441162109
"5978","Antarctica","Temperate Broadleaf and Mixed Forests",150.845963,-32.987285,20.6735000610352,68111.609706071,16.2970733642578,436.442474365234,885,34.628490447998
"5979","Antarctica","Temperate Broadleaf and Mixed Forests",153.395066,-29.017637,NA,39038.9486160156,19.3987998962402,367.201873779297,1483,40.4209251403809
"5980","Antarctica","Temperate Broadleaf and Mixed Forests",152.428229,-31.947498,28.4028949737549,34695.5552378017,18.1919898986816,400.045776367188,1147,38.1890296936035
"5981","Antarctica","Temperate Broadleaf and Mixed Forests",152.586101,-31.760019,31.4508457183838,56357.2445588956,17.8622817993164,378.980102539062,1383,38.2580375671387
"5982","Antarctica","Temperate Broadleaf and Mixed Forests",152.136664,-31.702017,28.7175178527832,56788.9177357212,16.6910839080811,417.201812744141,1176,44.4778251647949
"5983","Antarctica","Temperate Broadleaf and Mixed Forests",152.947502,-29.808283,NA,30342.414538664,19.0984992980957,398.234130859375,1092,46.1529083251953
